descriptor_id	descriptor_name	index_id	index_name	index_type	is_unique	is_inverted	is_sharded	is_visible	visibility	shard_bucket_count	created_at	create_statement
3	descriptor	1	primary	primary	t	f	f	t	1	NULL	NULL	"CREATE UNIQUE INDEX ""primary"" ON public.descriptor (id ASC)"
4	users	1	primary	primary	t	f	f	t	1	NULL	NULL	"CREATE UNIQUE INDEX ""primary"" ON public.users (username ASC)"
4	users	2	users_user_id_idx	secondary	t	f	f	t	1	NULL	NULL	CREATE UNIQUE INDEX users_user_id_idx ON public.users (user_id ASC)
5	zones	1	primary	primary	t	f	f	t	1	NULL	NULL	"CREATE UNIQUE INDEX ""primary"" ON public.zones (id ASC)"
6	settings	1	primary	primary	t	f	f	t	1	NULL	NULL	"CREATE UNIQUE INDEX ""primary"" ON public.settings (name ASC)"
7	descriptor_id_seq	1	primary	primary	f	f	f	t	1	NULL	NULL	"CREATE INDEX ""primary"" ON public.descriptor_id_seq (value ASC)"
8	tenants	1	primary	primary	t	f	f	t	1	NULL	NULL	"CREATE UNIQUE INDEX ""primary"" ON public.tenants (id ASC)"
8	tenants	2	tenants_name_idx	secondary	t	f	f	t	1	NULL	NULL	CREATE UNIQUE INDEX tenants_name_idx ON public.tenants (name ASC)
8	tenants	3	tenants_service_mode_idx	secondary	f	f	f	t	1	NULL	NULL	CREATE INDEX tenants_service_mode_idx ON public.tenants (service_mode ASC)
9	region_liveness	1	region_liveness_pkey	primary	t	f	f	t	1	NULL	NULL	CREATE UNIQUE INDEX region_liveness_pkey ON public.region_liveness (crdb_region ASC)
11	lease	3	primary	primary	t	f	f	t	1	NULL	NULL	"CREATE UNIQUE INDEX ""primary"" ON public.lease (crdb_region ASC, desc_id ASC, version ASC, session_id ASC)"
12	eventlog	1	primary	primary	t	f	f	t	1	NULL	NULL	"CREATE UNIQUE INDEX ""primary"" ON public.eventlog (""timestamp"" ASC, ""uniqueID"" ASC)"
12	eventlog	2	event_type_idx	secondary	f	f	f	t	1	NULL	NULL	"CREATE INDEX event_type_idx ON public.eventlog (""eventType"" ASC, ""timestamp"" DESC)"
13	rangelog	1	primary	primary	t	f	f	t	1	NULL	NULL	"CREATE UNIQUE INDEX ""primary"" ON public.rangelog (""timestamp"" ASC, ""uniqueID"" ASC)"
14	ui	1	primary	primary	t	f	f	t	1	NULL	NULL	"CREATE UNIQUE INDEX ""primary"" ON public.ui (key ASC)"
15	jobs	1	primary	primary	t	f	f	t	1	NULL	NULL	"CREATE UNIQUE INDEX ""primary"" ON public.jobs (id ASC)"
15	jobs	2	jobs_status_created_idx	secondary	f	f	f	t	1	NULL	NULL	CREATE INDEX jobs_status_created_idx ON public.jobs (status ASC, created ASC)
15	jobs	3	jobs_created_by_type_created_by_id_idx	secondary	f	f	f	t	1	NULL	NULL	CREATE INDEX jobs_created_by_type_created_by_id_idx ON public.jobs (created_by_type ASC, created_by_id ASC) STORING (status)
